Star System ------> we
Star --> we
Mass -->  34
Radius -->  34
Number of planets -->  9

Planet		Radius		Distance		Velocity		Time
23		 222222		 4.59436992746247D-20		 222222		 1.299551632741305D-24
33333		 3333333		 2.04194218998332D-20		 333333		 3.850523356270533D-25
2222		 222222		 4.595279748724157D-16		 2222		 1.299937676396394D-18
1111111		 111111		 1.838111899489663D-15		 1111		 1.039950141117115D-17
55555		 5555		 7.352447597958652D-17		 5555		 8.319601128936921D-20
666		 66666		 6.302278105249945D-11		 6		 6.602386496419778D-11
7777		 77777		 3.758010825867202D-15		 777		 3.040126385058842D-17
88888888		 7777		 3.758010825867202D-15		 777		 3.040126385058842D-17
66666		 66		 7.352447597958652D-17		 5555		 8.319601128936921D-20

